date,tmedia,tmax,tmin,tclasse,ptot,pclasse,vmedia,vraffica,settore_prevalente,tempo_permanenza,durata_calma,vclasse,umedia,umin,umax,uclasse,rtot,rclasse,hdd_base18,hdd_base20,cdd_base18
1991-01-09,,,,M000,,M0,,,,,,M00000,,,,M000,,M0,,,
1991-01-10,1.6,8.8,-2.2,M000,0.0,MZ,0.3,3.4,W,150.0,1020.0,M00000,88.0,57.0,99.0,M000,4.8,M0,14.7,16.7,0.0
1991-01-11,2.8,10.3,-1.8,M000,0.2,MY,0.4,4.8,W,190.0,860.0,M00000,86.0,56.0,100.0,M000,5.4,M0,13.8,15.8,0.0
1991-01-12,4.4,7.1,2.1,M000,0.0,MZ,0.4,3.8,W,220.0,880.0,M00000,86.0,75.0,98.0,M000,1.9,M0,13.4,15.4,0.0
1991-01-13,3.6,4.6,2.4,M000,20.0,MZ,0.6,8.3,WNW,120.0,1000.0,M00000,97.0,89.0,100.0,M000,0.9,M0,14.5,16.5,0.0
1991-01-14,1.3,2.3,0.4,M000,48.0,MZ,0.7,5.1,W,290.0,670.0,M00000,100.0,98.0,100.0,M000,0.6,M0,16.7,18.7,0.0
1991-01-15,3.7,6.2,1.3,M000,1.8,MZ,1.7,7.6,WNW,380.0,420.0,M00000,92.0,81.0,100.0,M000,2.6,M0,14.3,16.3,0.0
1991-01-16,0.6,3.2,-4.0,M000,0.0,MZ,0.8,7.6,ESE,260.0,650.0,M00000,75.0,40.0,98.0,M000,1.9,M0,18.4,20.4,0.0
1991-01-17,-2.0,3.8,-5.8,M000,0.0,MZ,0.2,3.7,E,140.0,1120.0,M00000,82.0,48.0,98.0,M000,7.0,M0,19.0,21.0,0.0
1991-01-18,-1.0,6.7,-5.9,M000,0.2,MY,0.5,4.9,N,300.0,880.0,M00000,74.0,32.0,97.0,M000,7.1,M*,17.6,19.6,0.0
1991-01-19,0.5,8.3,-6.0,M000,0.0,MZ,0.1,2.8,N,100.0,1250.0,M00000,72.0,30.0,96.0,M000,5.6,M0,16.9,18.9,0.0
1991-01-20,1.8,9.9,-3.4,M000,0.0,MZ,0.3,3.3,W,100.0,1010.0,M00000,76.0,29.0,98.0,M000,6.7,M0,14.8,16.8,0.0
1991-01-21,-0.3,6.8,-4.8,M000,0.0,MZ,0.2,3.1,E,80.0,1210.0,M00000,78.0,42.0,99.0,M000,5.9,M0,17.0,19.0,0.0
1991-01-22,0.5,6.6,-3.2,M000,0.0,MZ,0.5,3.5,WSW,180.0,790.0,M00000,77.0,38.0,97.0,M000,6.0,M0,16.3,18.3,0.0
1991-01-23,-0.7,7.2,-6.3,M000,0.2,MZ,0.7,5.9,WSW,270.0,580.0,M00000,74.0,32.0,97.0,M000,7.3,M*,17.6,19.6,0.0
1991-01-24,-0.9,7.1,-6.3,M000,0.0,MZ,1.0,4.9,W,280.0,520.0,M00000,71.0,28.0,96.0,M000,6.6,M0,17.6,19.6,0.0
1991-01-25,0.4,8.8,-5.5,M000,0.0,MZ,0.9,4.7,W,290.0,590.0,M00000,65.0,25.0,94.0,M000,7.1,M*,16.4,18.4,0.0
1991-01-26,-0.7,6.6,-5.3,M000,0.0,MZ,0.9,4.3,WSW,260.0,550.0,M00000,78.0,40.0,99.0,M000,6.4,M0,17.4,19.4,0.0
1991-01-27,0.0,9.3,-5.5,M000,0.0,MZ,0.6,3.1,N,640.0,640.0,M00000,78.0,33.0,99.0,M000,7.3,M0,16.1,18.1,0.0
1991-01-28,-1.2,4.2,-5.4,M000,0.2,MY,0.8,5.4,N,710.0,690.0,M00000,87.0,63.0,99.0,M000,6.5,M0,18.6,20.6,0.0
1991-01-29,0.1,9.3,-5.1,M000,0.0,MZ,0.5,4.9,N,490.0,770.0,M00000,80.0,35.0,99.0,M000,8.0,M0,15.9,17.9,0.0
1991-01-30,-2.3,3.6,-7.0,M000,0.0,MZ,0.6,5.4,N,470.0,970.0,M00000,88.0,62.0,99.0,M000,6.7,M0,19.7,21.7,0.0
1991-01-31,0.0,3.2,-4.7,M000,0.0,MZ,0.7,4.5,N,830.0,610.0,M00000,82.0,66.0,99.0,M000,2.0,M0,18.8,20.8,0.0
1991-02-01,-0.5,0.1,-1.5,M000,0.0,MZ,0.5,5.1,N,520.0,920.0,M00000,89.0,81.0,94.0,M000,0.8,M0,18.7,20.7,0.0
1991-02-02,-2.1,1.1,-6.0,M000,0.2,MY,0.7,4.1,N,940.0,500.0,M00000,77.0,58.0,96.0,M000,4.8,M0,20.5,22.5,0.0
1991-02-03,-3.7,2.0,-8.3,M000,0.0,MZ,0.6,4.2,N,590.0,850.0,M00000,82.0,56.0,96.0,M000,7.3,M*,21.2,23.2,0.0
1991-02-04,-3.1,3.9,-8.1,M000,0.0,MZ,0.4,5.3,N,510.0,900.0,M00000,80.0,45.0,97.0,M000,6.6,M*,20.1,22.1,0.0
1991-02-05,-3.4,0.7,-8.8,M000,0.0,MZ,1.1,6.4,N,890.0,550.0,M00000,82.0,61.0,97.0,M000,6.0,M0,22.1,24.1,0.0
1991-02-06,-5.8,-2.7,-12.5,M000,0.0,MZ,1.4,6.7,N,960.0,390.0,M00000,82.0,67.0,95.0,M000,3.9,M0,25.6,27.6,0.0
1991-02-07,-6.3,-3.6,-11.4,M000,0.0,MZ,0.4,4.7,N,350.0,1090.0,M00000,79.0,60.0,95.0,M000,4.6,M0,25.5,27.5,0.0
1991-02-08,-4.3,3.8,-10.8,M000,1.2,MZ,0.5,5.4,N,420.0,870.0,M00000,76.0,39.0,96.0,M000,8.8,M0,21.5,23.5,0.0
1991-02-09,-1.0,3.3,-6.8,M000,0.0,MZ,1.3,7.6,N,770.0,550.0,M00000,75.0,49.0,92.0,M000,7.4,M0,19.8,21.8,0.0
1991-02-10,0.7,5.5,-3.1,M000,1.8,MY,1.8,14.7,N,420.0,510.0,M00000,78.0,27.0,99.0,M000,6.7,M0,16.8,18.8,0.0
1991-02-11,1.8,5.7,-3.2,M000,0.0,MZ,4.8,15.8,NNE,380.0,140.0,M00000,33.0,19.0,79.0,M000,8.8,M*,16.8,18.8,0.0
1991-02-12,1.3,4.9,-3.8,M000,0.0,MZ,5.4,18.1,NNE,650.0,160.0,M00000,30.0,21.0,59.0,M000,8.5,M*,17.5,19.5,0.0
1991-02-13,-0.6,3.9,-5.7,M000,0.0,MZ,1.8,10.7,N,490.0,380.0,M00000,42.0,20.0,78.0,M000,9.2,M0,18.9,20.9,0.0
1991-02-14,-2.8,3.9,-8.8,M000,0.0,MZ,0.8,5.4,N,560.0,650.0,M00000,62.0,31.0,90.0,M000,9.1,M0,20.5,22.5,0.0
1991-02-15,-2.4,4.4,-8.6,M000,0.0,MZ,1.1,5.4,N,770.0,380.0,M00000,60.0,25.0,93.0,M000,9.5,M0,20.1,22.1,0.0
