date,tmedia,tmax,tmin,tclasse,ptot,pclasse,vmedia,vraffica,settore_prevalente,tempo_permanenza,durata_calma,vclasse,umedia,umin,umax,uclasse,rtot,rclasse,hdd_base18,hdd_base20,cdd_base18
1990-12-06,,,,M000,,M0,,,,,,M00000,,,,M000,,M0,,,
1990-12-07,-3.8,3.2,-7.8,M000,0.0,MZ,0.8,6.1,NNW,540.0,430.0,M00000,46.0,18.0,67.0,M000,7.2,M0,20.3,22.3,0.0
1990-12-08,-4.9,-0.8,-9.0,M000,0.0,MZ,1.2,6.1,SE,370.0,550.0,M00000,68.0,48.0,86.0,M000,6.9,M0,22.9,24.9,0.0
1990-12-09,-4.7,-2.7,-6.4,M000,0.0,MZ,0.6,6.1,NNW,140.0,810.0,M00000,90.0,84.0,94.0,M000,0.1,M0,22.6,24.6,0.0
1990-12-10,-2.5,0.0,-5.4,M000,1.2,MZ,2.1,10.8,NNW,370.0,220.0,M00000,64.0,39.0,95.0,M000,0.7,M0,20.7,22.7,0.0
1990-12-11,-4.5,-0.9,-7.4,M000,0.0,MZ,0.8,4.4,NNW,380.0,520.0,M00000,85.0,70.0,93.0,M000,0.2,M0,22.2,24.2,0.0
1990-12-12,-1.0,4.8,-5.3,M000,2.4,MZ,2.5,12.9,NW,580.0,60.0,M00000,59.0,42.0,83.0,M000,0.4,M0,18.3,20.3,0.0
1990-12-13,-2.7,-0.6,-7.0,M000,0.0,MZ,4.6,13.8,NW,1020.0,50.0,M00000,45.0,35.0,62.0,M000,4.2,M0,21.8,23.8,0.0
1990-12-14,-3.8,5.7,-8.9,M000,3.8,MY,1.2,3.7,NNW,940.0,60.0,M00000,53.0,29.0,67.0,M000,4.5,M0,19.6,21.6,0.0
1990-12-15,-4.5,0.4,-7.9,M000,0.8,MZ,1.3,5.8,SE,390.0,220.0,M00000,62.0,31.0,93.0,M000,4.4,M0,21.8,23.8,0.0
1990-12-16,-6.5,1.7,-10.7,M000,2.4,MY,1.0,4.5,NNW,780.0,220.0,M00000,62.0,32.0,84.0,M000,4.2,M0,22.5,24.5,0.0
1990-12-17,-7.0,-0.9,-10.6,M000,1.0,MZ,0.8,4.8,NNW,530.0,460.0,M00000,63.0,41.0,73.0,M000,4.5,M0,23.8,25.8,0.0
1990-12-18,-6.0,-2.2,-8.6,M000,0.6,MY,0.9,4.0,NNW,340.0,390.0,M00000,64.0,43.0,81.0,M000,5.8,M0,23.4,25.4,0.0
1990-12-19,-4.6,1.0,-8.0,M000,1.8,MY,1.1,7.6,NW,350.0,370.0,M00000,70.0,44.0,89.0,M000,,M0,21.5,23.5,0.0
1990-12-20,-5.5,3.4,-9.7,M000,3.8,MY,0.7,3.3,NNW,660.0,340.0,M00000,52.0,23.0,67.0,M000,6.2,M0,21.2,23.2,0.0
1990-12-21,-1.0,4.7,-8.1,M000,1.6,MY,2.0,13.0,NNW,610.0,40.0,M00000,49.0,31.0,67.0,M000,6.4,M0,19.7,21.7,0.0
