time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1999-03-24,7.5,-1.4,17.5,,,29.0,9.5,,,
1999-03-25,11.1,8.8,13.4,,,47.0,24.5,,,
1999-04-02,9.6,4.7,16.6,,,23.0,5.3,,,
1999-04-03,11.2,5.9,17.4,,,,5.8,,,
1999-04-04,11.0,6.8,18.1,,,,4.2,,,
1999-04-05,10.9,3.7,19.4,,,23.0,5.6,,,
1999-04-09,8.2,0.1,16.4,,,208.0,6.3,,,
1999-04-10,9.9,3.8,16.6,,,,4.8,,,
1999-04-11,6.9,4.4,9.3,,,,6.9,,,
1999-04-12,5.5,3.1,10.1,,,,4.3,,,
1999-04-13,3.2,0.4,7.3,,,210.0,9.2,,,
1999-04-14,6.1,1.7,12.4,,,,6.1,,,
1999-04-15,2.6,-0.5,5.6,,,201.0,7.6,,,
1999-04-16,1.1,-0.8,3.7,,,,8.0,,,
1999-04-17,3.1,-3.3,9.6,,,251.0,5.6,,,
1999-04-18,2.5,0.1,6.0,,,,7.1,,,
1999-04-19,4.5,0.5,10.6,,,,5.6,,,
1999-04-20,5.8,1.4,9.5,,,,3.8,,,
1999-04-21,7.8,6.0,13.0,,,,4.6,,,
1999-04-22,9.1,4.4,14.4,,,,5.1,,,
1999-04-23,9.3,2.7,16.7,,,,5.6,,,
1999-04-24,7.3,4.0,11.1,,,,5.2,,,
1999-04-25,10.0,4.6,18.0,,,142.0,5.4,,,
1999-04-26,10.6,6.6,15.4,,,97.0,9.1,,,
1999-04-27,11.1,5.0,17.1,,,,9.1,,,
1999-04-28,11.8,4.5,17.9,,,38.0,17.0,,,
1999-04-29,14.5,11.0,16.1,,,56.0,25.9,,,
1999-04-30,12.4,5.0,19.8,,,349.0,5.0,,,
1999-05-02,15.1,6.6,23.1,,,,5.8,,,
1999-05-03,15.4,8.8,20.9,,,22.0,12.9,,,
1999-05-04,14.8,11.5,16.9,,,44.0,16.9,,,
1999-05-05,14.3,8.6,21.2,,,,5.4,,,
1999-05-06,15.3,9.5,22.3,,,137.0,4.6,,,
1999-05-08,11.7,10.3,15.1,,,,4.1,,,
1999-05-09,14.1,6.7,23.8,,,,4.2,,,
1999-05-10,16.1,7.9,24.8,,,,4.5,,,
1999-05-11,13.9,11.2,17.1,,,,4.5,,,
1999-05-12,13.5,11.8,17.7,,,332.0,4.0,,,
1999-05-13,15.6,10.4,22.5,,,315.0,4.8,,,
1999-05-15,12.5,10.3,16.4,,,,3.2,,,
1999-05-16,14.6,9.7,21.4,,,,5.3,,,
1999-05-17,13.9,9.7,17.9,,,41.0,15.6,,,
1999-05-19,12.9,8.2,17.0,,,11.0,11.5,,,
1999-05-20,9.7,7.2,13.6,,,,5.4,,,
1999-05-21,9.6,7.2,13.1,,,215.0,7.5,,,
1999-05-22,11.5,9.1,14.2,,,,4.0,,,
1999-05-24,16.6,8.7,25.1,,,309.0,6.1,,,
1999-05-25,17.1,11.9,24.8,,,,5.3,,,
1999-05-26,17.8,9.2,26.1,,,,4.8,,,
1999-05-27,19.2,10.8,28.2,,,25.0,7.7,,,
1999-05-28,17.9,13.0,25.4,,,,4.8,,,
1999-05-29,19.7,12.4,28.9,,,10.0,6.5,,,
1999-05-30,18.7,11.6,28.4,,,,4.7,,,
1999-05-31,18.0,12.5,23.9,,,330.0,4.8,,,
1999-06-01,20.4,11.1,30.9,,,332.0,4.1,,,
1999-06-02,20.1,13.4,28.7,,,,4.9,,,
1999-06-05,14.5,6.7,23.4,,,,3.8,,,
1999-06-06,10.8,9.2,14.2,,,200.0,6.7,,,
1999-06-07,14.3,9.0,22.5,,,,4.7,,,
1999-06-10,12.2,10.6,14.6,,,,4.2,,,
1999-06-11,14.5,10.2,20.3,,,,5.5,,,
1999-06-12,15.3,10.3,21.7,,,,5.9,,,
1999-06-13,16.5,8.3,24.2,,,,5.6,,,
1999-06-14,11.7,8.0,15.3,,,,5.4,,,
1999-06-15,12.7,7.0,20.3,,,,3.2,,,
1999-06-16,16.5,9.6,23.5,,,,5.1,,,
1999-06-17,18.2,12.5,25.6,,,,5.2,,,
1999-06-18,16.6,11.3,22.5,,,,4.3,,,
1999-06-19,16.4,11.7,22.6,,,,5.4,,,
1999-06-20,15.5,9.4,21.1,,,237.0,5.1,,,
1999-06-21,13.3,8.5,17.9,,,,7.7,,,
1999-06-22,11.9,6.1,19.1,,,221.0,5.9,,,
1999-06-23,14.1,5.5,23.7,,,,5.3,,,
1999-06-24,17.2,8.6,25.3,,,,5.7,,,
1999-06-25,18.5,9.2,27.1,,,,5.5,,,
1999-06-26,16.5,12.2,19.9,,,,3.8,,,
1999-06-27,17.4,12.5,23.2,,,208.0,5.1,,,
1999-06-28,14.7,9.3,21.1,,,244.0,5.9,,,
1999-06-29,17.0,9.6,25.0,,,,4.8,,,
1999-06-30,18.0,13.4,24.4,,,,4.3,,,
1999-07-01,19.1,12.1,27.5,,,254.0,5.4,,,
1999-07-02,20.8,11.7,31.0,,,325.0,5.1,,,
1999-07-03,22.4,13.6,32.5,,,337.0,5.9,,,
1999-07-04,23.3,15.0,31.8,,,16.0,7.4,,,
1999-07-05,24.2,18.3,30.0,,,55.0,13.7,,,
1999-07-06,17.8,12.4,22.4,,,197.0,9.4,,,
1999-07-07,17.7,12.6,23.2,,,,5.1,,,
1999-07-08,18.8,12.5,25.2,,,,6.1,,,
1999-07-09,17.7,11.0,24.0,,,,6.0,,,
1999-07-10,18.9,12.2,25.4,,,,5.3,,,
1999-07-11,17.6,13.9,22.3,,,,4.6,,,
1999-07-12,18.9,12.4,24.3,,,,3.8,,,
1999-07-13,18.2,12.8,27.1,,,296.0,6.7,,,
1999-07-28,17.9,14.2,22.3,,,,4.3,,,
1999-07-29,18.1,14.7,25.0,,,,3.5,,,
1999-07-30,19.6,14.3,27.0,,,,5.5,,,
1999-07-31,18.5,13.8,24.5,,,,4.2,,,
1999-08-01,18.6,12.7,26.7,,,,5.0,,,
1999-08-02,19.1,11.3,27.7,,,,4.8,,,
1999-08-03,20.1,14.4,28.2,,,,5.4,,,
1999-08-06,22.8,16.2,31.5,,,,4.1,,,
1999-08-07,19.9,12.7,29.4,,,,4.3,,,
1999-08-08,20.8,15.5,28.7,,,,5.5,,,
1999-08-09,20.3,16.2,25.6,,,,3.7,,,
1999-08-10,19.5,14.7,25.8,,,,6.2,,,
1999-08-13,15.4,10.8,22.0,,,,4.8,,,
1999-08-14,17.2,9.8,25.5,,,278.0,4.8,,,
1999-08-15,19.7,14.6,27.0,,,261.0,5.7,,,
1999-08-16,14.0,11.6,18.6,,,,3.7,,,
1999-08-17,15.6,10.2,22.6,,,,5.1,,,
1999-08-18,15.8,9.8,24.3,,,327.0,4.0,,,
1999-08-19,15.4,13.0,19.0,,,,3.2,,,
1999-08-21,17.4,13.0,23.4,,,,5.1,,,
1999-08-22,16.4,9.5,25.2,,,,5.1,,,
1999-08-23,17.2,10.3,26.9,,,,4.0,,,
1999-08-24,20.9,14.8,30.0,,,,5.6,,,
1999-08-25,20.7,12.8,29.4,,,,3.8,,,
1999-08-31,18.3,12.9,25.9,,,,3.4,,,
1999-09-01,18.0,10.9,27.0,,,,4.3,,,
1999-09-02,17.9,11.2,25.6,,,249.0,5.2,,,
1999-09-03,16.7,12.4,20.7,,,,13.0,,,
1999-09-06,14.4,9.4,21.3,,,,3.7,,,
1999-09-07,16.5,11.6,23.9,,,343.0,3.8,,,
1999-09-08,17.0,10.3,26.3,,,,4.5,,,
1999-09-09,18.4,11.3,26.9,,,,5.0,,,
1999-09-10,18.2,11.6,26.9,,,,4.6,,,
1999-09-14,17.6,9.6,27.2,,,,5.9,,,
1999-09-15,16.9,11.0,24.3,,,19.0,9.1,,,
1999-09-16,17.2,14.1,24.2,,,,5.6,,,
1999-09-17,15.9,9.4,25.4,,,,5.6,,,
1999-09-18,15.0,12.4,20.7,,,256.0,4.5,,,
