date,tmedia,tmax,tmin,tclasse,ptot,pclasse,vmedia,vraffica,settore_prevalente,tempo_permanenza,durata_calma,vclasse,umedia,umin,umax,uclasse,rtot,rclasse,hdd_base18,hdd_base20,cdd_base18
1990-11-15,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1990-11-16,3.2,11.9,-2.0,M000,0.0,MZ,0.5,6.5,SW,160.0,880.0,M00000,51.0,22.0,70.0,M000,,,13.1,15.1,0.0
1990-11-17,13.9,20.2,6.0,M000,0.0,MZ,2.4,14.0,WSW,340.0,450.0,M00000,31.0,7.0,72.0,M000,,,4.9,6.9,0.0
1990-11-18,13.7,16.1,11.3,M000,0.0,MZ,6.0,22.0,SW,690.0,0.0,M00000,25.0,11.0,39.0,M000,,,4.3,6.3,0.0
1990-11-19,12.0,13.7,10.1,M000,0.0,MZ,6.3,20.6,SW,930.0,0.0,M00000,26.0,17.0,43.0,M000,,,6.1,8.1,0.0
1990-11-20,6.8,13.0,3.7,M000,1.0,MZ,2.8,13.3,NE,500.0,390.0,M00000,64.0,34.0,96.0,M000,,,9.7,11.7,0.0
1990-11-21,4.5,6.0,3.4,M000,0.0,MZ,1.2,6.6,NE,780.0,550.0,M00000,96.0,92.0,97.0,M000,,,13.3,15.3,0.0
1990-11-22,3.4,4.4,1.7,M000,13.2,MZ,0.5,7.9,WSW,300.0,960.0,M00000,95.0,92.0,97.0,M000,,,15.0,17.0,0.0
1990-11-23,2.8,6.2,-2.8,M000,0.0,MZ,3.4,12.8,WSW,730.0,50.0,M00000,51.0,32.0,93.0,M000,,,16.3,18.3,0.0
1990-11-24,0.1,3.5,-2.8,M000,0.0,MZ,1.6,8.7,NE,460.0,450.0,M00000,65.0,42.0,95.0,M000,,,17.7,19.7,0.0
1990-11-25,-1.0,0.3,-3.9,M000,2.4,MZ,,,,,,M00000,95.0,91.0,97.0,M000,,,19.8,21.8,0.0
1990-11-26,-1.5,1.3,-5.4,M000,2.0,MZ,,,,,,M00000,92.0,88.0,96.0,M000,,,20.1,22.1,0.0
1990-11-27,0.6,3.1,-2.2,M000,2.4,MZ,,,,,,M00000,90.0,75.0,96.0,M000,,,17.6,19.6,0.0
1990-11-28,-0.4,5.0,-4.8,M000,0.0,MZ,,,,,,M00000,89.0,59.0,95.0,M000,,,17.9,19.9,0.0
1990-11-29,,,,M000,0.0,MZ,,,,,,M00000,,,,M000,,,,,
1990-11-30,-1.3,6.6,-6.6,M000,0.0,MZ,,,,,,M00000,59.0,26.0,83.0,M000,,,18.0,20.0,0.0
1990-12-01,-5.7,0.4,-9.5,M000,0.0,MZ,,,,,,M00000,69.0,42.0,87.0,M000,,,22.6,24.6,0.0
1990-12-02,-4.9,1.0,-10.1,M000,0.0,MZ,,,,,,M00000,66.0,40.0,83.0,M000,,,22.6,24.6,0.0
1990-12-03,-3.4,2.7,-8.7,M000,0.0,MZ,,,,,,M00000,67.0,44.0,90.0,M000,,,21.0,23.0,0.0
1990-12-04,-0.2,7.5,-8.0,M000,0.0,MZ,,,,,,M00000,57.0,27.0,90.0,M000,,,18.3,20.3,0.0
1990-12-05,1.8,8.9,-5.9,M000,0.0,MZ,,,,,,M00000,40.0,8.0,69.0,M000,,,16.5,18.5,0.0
1990-12-06,-5.8,1.8,-9.0,M000,0.0,MZ,,,,,,M00000,55.0,25.0,76.0,M000,,,21.6,23.6,0.0
1990-12-07,-7.9,0.2,-11.9,M000,0.0,MZ,,,,,,M00000,67.0,32.0,89.0,M000,,,23.9,25.9,0.0
1990-12-08,-6.8,-0.8,-13.1,M000,0.0,MZ,,,,,,M00000,79.0,62.0,89.0,M000,,,25.0,27.0,0.0
1990-12-09,-4.0,-2.5,-5.5,M000,8.6,MZ,,,,,,M00000,93.0,89.0,95.0,M000,,,22.0,24.0,0.0
1990-12-10,-1.8,1.6,-4.7,M000,5.0,MZ,,,,,,M00000,82.0,55.0,95.0,M000,,,19.6,21.6,0.0
1990-12-11,-3.2,-0.4,-6.4,M000,4.0,MZ,,,,,,M00000,90.0,80.0,94.0,M000,,,21.4,23.4,0.0
1990-12-12,1.4,7.8,-6.5,M000,0.0,MZ,,,,,,M00000,52.0,33.0,90.0,M000,,,17.4,19.4,0.0
1990-12-13,-0.7,2.2,-7.4,M000,0.0,MZ,,,,,,M00000,37.0,27.0,63.0,M000,,,20.6,22.6,0.0
1990-12-14,-5.9,-0.2,-11.0,M000,0.0,MZ,,,,,,M00000,67.0,56.0,85.0,M000,,,23.6,25.6,0.0
1990-12-15,-6.5,0.0,-13.4,M000,0.0,MZ,,,,,,M00000,75.0,47.0,91.0,M000,,,24.7,26.7,0.0
1990-12-16,-8.8,-1.2,-14.1,M000,0.0,MZ,,,,,,M00000,75.0,44.0,90.0,M000,,,25.7,27.7,0.0
1990-12-17,-10.3,-2.9,-16.2,M000,0.0,MZ,,,,,,M00000,78.0,52.0,88.0,M000,,,27.6,29.6,0.0
1990-12-18,-7.6,-1.9,-11.6,M000,0.0,MZ,,,,,,M00000,72.0,52.0,89.0,M000,,,24.8,26.8,0.0
1990-12-19,-7.4,-2.3,-10.8,M000,0.0,MZ,,,,,,M00000,79.0,59.0,90.0,M000,,,24.6,26.6,0.0
