time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,humidity_mean,humidity_min,humidity_max
2018-07-21,16.9,14.0,20.8,,,248.0,4.9,25.9,1013.7,,70.95833333333333,53.0,85.0
2018-07-22,17.0,11.8,22.9,,,289.0,5.8,25.9,1014.5,,63.458333333333336,40.0,84.0
2018-07-23,19.0,12.7,26.4,,,319.0,6.2,24.1,1016.3,,58.0,34.0,79.0
2018-07-24,19.7,14.7,25.6,,,242.0,5.2,24.1,1017.4,,60.5,40.0,79.0
2018-07-25,19.5,14.5,25.0,,,271.0,5.5,24.1,1017.9,,61.375,41.0,76.0
2018-07-26,19.8,14.4,26.1,,,243.0,5.0,24.1,1017.4,,64.41666666666667,42.0,82.0
2018-07-27,20.7,14.8,27.5,,,240.0,5.4,24.1,1016.5,,58.375,34.0,82.0
2018-07-28,19.6,15.7,23.8,,,237.0,4.8,22.2,1016.5,,65.625,50.0,79.0
2018-07-29,20.7,14.4,28.2,,,224.0,5.6,22.2,1018.0,,57.625,31.0,81.0
2018-07-30,21.7,15.5,28.9,,,351.0,5.6,22.2,1019.2,,56.916666666666664,33.0,75.0
2018-07-31,21.5,16.4,29.1,,,329.0,5.4,20.4,1020.5,,61.083333333333336,36.0,79.0
2018-08-01,20.4,15.5,27.4,,,251.0,5.0,25.9,1022.0,,65.04166666666667,42.0,83.0
2018-08-02,20.5,12.2,29.1,,,307.0,5.5,25.9,1022.0,,59.416666666666664,29.0,91.0
2018-08-03,22.0,15.9,28.6,,,339.0,4.9,24.1,1022.1,,59.958333333333336,34.0,81.0
2018-08-04,21.8,15.6,29.3,,,294.0,5.1,25.9,1021.0,,63.708333333333336,36.0,87.0
2018-08-05,19.5,14.9,28.3,,,262.0,4.8,22.2,1021.6,,73.45833333333333,41.0,90.0
2018-08-06,18.1,12.3,26.8,,,241.0,4.4,18.5,1021.5,,76.33333333333333,40.0,95.0
2018-08-07,18.8,12.5,26.2,,,203.0,4.3,22.2,1019.8,,69.875,39.0,96.0
2018-08-08,19.5,14.0,25.4,,,219.0,4.1,24.1,1019.3,,65.33333333333333,41.0,89.0
2018-08-09,16.2,12.8,21.0,,,222.0,4.1,18.5,1021.0,,81.5,61.0,96.0
2018-08-10,16.7,10.5,24.5,,,232.0,5.9,24.1,1023.6,,64.83333333333333,33.0,97.0
2018-08-11,17.4,10.0,26.0,,,268.0,6.2,25.9,1022.5,,56.958333333333336,25.0,83.0
