Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2024-02-19,16.8,6.9,10.783333333333333,57.5,47.958333333333336,0.0,12.6,291.5416666666667,0.0
2024-02-20,14.0,4.7,8.566666666666666,55.5,46.75,0.0,9.8,244.75,1.0
2024-02-21,12.4,4.9,8.862499999999999,64.41666666666667,92.54166666666667,0.0,5.6,247.54166666666666,3.0
2024-02-22,9.9,6.0,7.4375,91.20833333333333,99.58333333333333,10.6,7.4,212.16666666666666,3.0
2024-02-23,10.9,0.3,6.033333333333334,68.04166666666667,57.125,4.5,7.3,269.4166666666667,0.0
2024-02-24,7.4,-1.7,2.8791666666666664,70.20833333333333,76.08333333333333,1.0,7.1,241.25,3.0
2024-02-25,6.8,-0.6,3.4458333333333333,76.45833333333333,67.79166666666667,4.4,9.0,190.45833333333334,73.0
2024-02-26,4.6,3.1,3.8375,95.33333333333333,100.0,19.6,4.9,129.95833333333334,73.0
2024-02-27,6.6,2.4,5.425,94.125,100.0,44.5,4.8,254.91666666666666,75.0
2024-02-28,11.0,5.9,7.5125,88.66666666666667,90.875,29.8,4.8,272.5,53.0
2024-02-29,10.1,6.0,7.883333333333333,85.91666666666667,88.625,8.3,7.6,243.54166666666666,51.0
2024-03-01,9.8,4.6,7.375,94.04166666666667,99.95833333333333,6.3,6.1,219.20833333333334,51.0
2024-03-02,8.9,3.5,6.466666666666666,93.45833333333333,99.0,7.0,7.0,184.83333333333334,3.0
2024-03-03,6.4,4.8,5.554166666666667,97.70833333333333,100.0,98.5,8.0,73.20833333333333,75.0
2024-03-04,9.4,2.3,6.645833333333333,86.16666666666667,47.5,22.7,9.9,209.16666666666666,0.0
2024-03-05,11.8,1.9,6.0125,65.16666666666667,80.04166666666667,0.3,8.2,265.4166666666667,3.0
2024-03-06,9.2,0.2,4.991666666666666,57.375,67.95833333333333,0.4,9.7,267.5416666666667,3.0
2024-03-07,8.8,-0.9,3.870833333333333,58.166666666666664,4.25,0.0,5.4,248.5,0.0
2024-03-08,5.9,-0.7,3.975,86.25,95.125,16.1,6.8,214.20833333333334,75.0
2024-03-09,5.3,3.8,4.3374999999999995,95.125,100.0,21.3,6.1,114.79166666666667,73.0
2024-03-10,6.4,3.4,4.875,96.08333333333333,100.0,41.5,7.4,138.95833333333334,75.0
2024-03-11,8.0,-0.4,4.483333333333333,73.875,94.375,0.1,9.1,264.0416666666667,3.0
2024-03-12,12.3,4.2,7.3374999999999995,59.916666666666664,78.04166666666667,0.0,12.4,295.2083333333333,3.0
2024-03-13,12.9,3.5,7.829166666666667,70.79166666666667,46.416666666666664,0.0,5.9,252.04166666666666,0.0
2024-03-14,13.1,5.8,9.754166666666666,73.54166666666667,58.541666666666664,0.0,5.7,251.83333333333334,3.0
2024-03-15,12.6,4.1,8.154166666666667,83.25,71.875,0.0,6.4,245.5,3.0
2024-03-16,17.0,4.0,9.875,62.0,29.375,0.0,7.8,266.0,0.0
2024-03-17,15.4,6.9,11.508333333333333,67.04166666666667,96.0,0.0,7.7,234.875,3.0
2024-03-18,17.1,7.9,11.691666666666668,79.75,70.29166666666667,2.9,6.6,244.45833333333334,51.0
2024-03-19,16.9,7.3,11.674999999999999,72.08333333333333,66.79166666666667,0.0,6.5,239.95833333333334,2.0
2024-03-20,14.5,8.1,11.183333333333332,86.70833333333333,90.33333333333333,0.5,6.3,238.91666666666666,3.0
2024-03-21,20.3,7.0,13.358333333333334,62.5,57.458333333333336,0.0,7.3,272.25,3.0
2024-03-22,17.5,9.2,13.020833333333334,70.29166666666667,85.625,0.0,7.0,235.08333333333334,3.0
2024-03-23,16.9,4.8,10.604166666666666,54.791666666666664,32.833333333333336,0.0,6.7,261.4166666666667,0.0
2024-03-24,11.2,2.9,7.220833333333334,48.333333333333336,34.958333333333336,0.0,11.9,288.5,0.0
2024-03-25,10.8,1.4,6.4624999999999995,48.25,60.458333333333336,0.0,9.3,211.08333333333334,3.0
2024-03-26,7.4,5.2,5.920833333333333,81.45833333333333,99.91666666666667,12.7,5.9,146.41666666666666,73.0
2024-03-27,6.2,-0.7,4.554166666666666,94.91666666666667,99.41666666666667,16.6,6.9,171.95833333333334,73.0
2024-03-28,9.4,-1.0,5.733333333333333,71.83333333333333,72.875,2.9,6.3,263.4583333333333,1.0
2024-03-29,9.9,4.6,7.529166666666666,87.58333333333333,98.70833333333333,2.6,6.5,164.70833333333334,51.0
2024-03-30,9.0,6.9,8.204166666666667,97.875,99.83333333333333,27.0,5.8,214.45833333333334,51.0
2024-03-31,10.1,6.9,8.370833333333334,95.58333333333333,100.0,24.7,5.2,111.0,51.0
2024-04-01,14.9,5.9,9.754166666666666,67.58333333333333,46.833333333333336,14.1,9.4,263.3333333333333,0.0
2024-04-02,14.7,5.3,9.629166666666666,48.416666666666664,24.416666666666668,0.0,11.6,284.5416666666667,0.0
2024-04-03,14.1,7.3,10.445833333333333,65.875,66.41666666666667,0.8999999999999999,7.1,231.41666666666666,3.0
2024-04-04,16.8,8.1,11.779166666666667,76.75,84.29166666666667,0.30000000000000004,9.9,236.83333333333334,3.0
2024-04-05,15.7,7.1,12.020833333333334,86.625,97.25,1.1,8.4,232.20833333333334,3.0
