Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2005-02-23,-14.9,-22.6,-18.662499999999998,73.25,41.416666666666664,0.0,5.1,202.95833333333334,1.0
2005-02-24,-13.1,-26.1,-18.741666666666667,68.91666666666667,40.958333333333336,0.0,5.9,107.58333333333333,0.0
2005-02-25,-12.2,-25.0,-18.520833333333332,59.625,41.416666666666664,0.0,2.6,127.25,0.0
2005-02-26,-12.5,-21.3,-17.533333333333335,54.041666666666664,4.041666666666667,0.0,5.9,209.54166666666666,0.0
2005-02-27,-15.8,-22.1,-19.020833333333332,77.75,79.375,0.0,6.6,298.7916666666667,3.0
2005-02-28,-16.1,-22.3,-19.279166666666665,76.125,86.125,1.9000000000000001,7.6,100.20833333333333,71.0
2005-03-01,-12.4,-24.9,-18.345833333333335,55.041666666666664,20.25,0.0,5.2,198.29166666666666,0.0
2005-03-02,-10.8,-21.5,-16.554166666666667,40.666666666666664,14.958333333333334,0.0,5.1,246.04166666666666,0.0
2005-03-03,-12.9,-20.0,-16.691666666666666,66.33333333333333,82.5,2.5,7.5,119.79166666666667,71.0
2005-03-04,-11.5,-18.2,-14.883333333333333,78.625,79.54166666666667,0.0,6.1,295.5,3.0
2005-03-05,-13.2,-18.7,-15.862499999999999,79.83333333333333,94.45833333333333,0.8,8.6,308.125,71.0
2005-03-06,-13.6,-21.3,-17.241666666666667,77.16666666666667,84.375,0.1,7.7,296.4166666666667,3.0
2005-03-07,-14.7,-21.1,-17.76666666666667,74.79166666666667,71.0,0.0,8.0,326.5833333333333,3.0
2005-03-08,-9.8,-20.1,-15.075000000000001,78.08333333333333,53.541666666666664,0.0,8.2,323.1666666666667,3.0
2005-03-09,-7.6,-18.7,-12.595833333333333,78.125,45.875,0.0,8.2,292.6666666666667,0.0
2005-03-10,-4.2,-20.1,-11.754166666666665,51.833333333333336,50.791666666666664,0.0,5.1,208.58333333333334,3.0
2005-03-11,-5.7,-14.1,-9.883333333333333,55.791666666666664,2.4166666666666665,0.0,7.6,237.125,0.0
2005-03-12,-6.2,-12.9,-10.525,73.91666666666667,12.875,0.0,11.1,300.0833333333333,0.0
2005-03-13,-3.2,-16.4,-9.779166666666667,64.29166666666667,41.416666666666664,0.0,7.7,198.20833333333334,0.0
2005-03-14,-1.6,-12.7,-7.3374999999999995,59.083333333333336,38.666666666666664,0.2,6.1,197.875,0.0
2005-03-15,1.4,-7.3,-3.7916666666666665,73.29166666666667,34.916666666666664,1.8,4.7,290.2916666666667,0.0
2005-03-16,4.4,-6.1,-1.8,46.833333333333336,0.0,0.0,3.1,180.25,0.0
2005-03-17,3.6,-4.9,-1.1541666666666666,44.166666666666664,7.25,0.0,5.6,306.25,0.0
2005-03-18,5.9,-4.1,0.12500000000000008,42.333333333333336,0.7083333333333334,0.0,3.4,197.20833333333334,0.0
2005-03-19,6.1,-3.4,0.5249999999999999,43.333333333333336,0.125,0.0,4.1,184.25,0.0
2005-03-20,4.6,-3.0,0.19166666666666665,52.25,7.166666666666667,0.0,4.0,293.8333333333333,0.0
